ELECTRONIC CIRCUITS,DIGITAL CIRCUITS,ELECTRICAL CIRCUITS,DATA STRUCTURES,ELECTRONIC CIRCUIT LAB,DIGITAL CIRCUITS LAB,ELECTRICAL CIRCUIT LAB,DATA STRUCTURES LAB,ELECTRONIC SKILL DEVELOPMENT,AUDIT COURSE,ENGINEERING MATHEMATICS III,ENGINEERING MATHEMATICS III,SIGNALS & SYSTEMS,SIGNALS & SYSTEMS,CONTROL SYSTEMS,PRINCIPLES OF COMMU. SYSTEMS,OBJECT ORIENTED PROGRAMMING,SIGNALS & CONTROL SYSTEM LAB,PRINCIPLE OF COMMU. SYS. LAB,OOPS LAB,DATA ANALYTICS LAB,EMPLOYABILITY SKILL DEV.,PROJECT BASED LEARNING,AUDIT COURSE,SEM_3_GPA,SEM_3_SGPA,SEM_4_GPA,SEM_4_SGPA,TOTAL_CREDITS_EARNED,CGPA
27,30,30,30,8,8,10,9,9,0,40,10,24,10,18,18,24,9,8,9,7,27,16,0,211.0,9.591,170.0,7.727,44,8.66
24,30,30,30,6,8,10,9,9,0,40,9,27,10,18,27,18,9,8,9,9,24,16,0,205.0,9.318,175.0,7.955,44,8.64
27,30,30,30,7,8,9,9,5,0,40,7,24,9,24,24,27,7,9,9,9,18,16,0,202.0,9.182,176.0,8.0,44,8.59
27,30,30,30,9,9,10,8,9,0,40,10,21,9,15,15,12,8,9,6,8,21,16,0,212.0,9.636,140.0,6.364,44,8.00
30,30,30,30,7,8,9,9,9,0,40,9,21,10,24,21,18,9,9,7,10,27,16,0,211.0,9.591,172.0,7.818,44,8.70
27,30,30,30,10,9,10,8,9,0,40,10,24,9,21,21,15,9,8,9,9,24,18,0,213.0,9.682,167.0,7.591,44,8.64
24,30,27,27,8,7,5,9,4,0,36,7,15,8,12,12,18,7,9,7,8,18,14,0,184.0,8.364,128.0,5.818,44,7.09
24,30,27,30,7,8,10,4,9,0,40,9,0,7,0,0,0,5,4,4,7,12,14,0,198.0,9.0,53.0,2.409,32,0
27,30,30,27,8,8,10,7,9,0,40,8,18,9,12,18,12,8,8,8,9,21,16,0,204.0,9.273,139.0,6.318,44,7.80
30,27,30,30,9,9,10,10,9,0,40,10,21,9,18,18,18,8,9,9,8,24,14,0,214.0,9.727,156.0,7.091,44,8.41
24,30,30,27,6,9,9,7,9,0,20,9,15,9,12,18,18,7,4,9,4,24,14,0,180.0,8.182,134.0,6.091,44,7.14
30,30,30,30,7,9,7,9,8,0,40,7,24,9,18,21,21,7,9,4,7,15,16,0,207.0,9.409,151.0,6.864,44,8.14
27,30,30,30,8,9,10,10,10,0,40,9,21,9,21,15,15,8,6,8,9,24,16,0,213.0,9.682,152.0,6.909,44,8.30
27,30,30,24,7,9,9,7,9,0,28,9,0,9,0,12,0,8,9,0,7,21,14,0,189.0,8.591,80.0,3.636,34,0
27,30,30,30,4,10,10,9,10,0,40,9,18,8,18,18,15,6,8,9,7,15,16,0,209.0,9.5,138.0,6.273,44,7.89
30,30,30,27,10,10,10,10,9,0,40,10,24,10,21,24,18,9,9,8,8,27,18,0,216.0,9.818,176.0,8.0,44,8.91
27,30,30,30,8,8,10,9,8,0,40,9,24,10,21,27,21,9,8,8,9,21,16,0,209.0,9.5,174.0,7.909,44,8.70
27,30,30,30,8,8,10,7,8,0,40,7,18,9,18,15,0,7,7,7,8,18,14,0,205.0,9.318,121.0,5.5,41,0
30,30,30,27,9,10,10,5,9,0,40,9,18,10,21,18,18,9,9,6,9,24,16,0,209.0,9.5,158.0,7.182,44,8.34
21,24,24,24,6,8,7,7,7,0,40,4,12,9,0,15,0,7,7,8,8,24,14,0,172.0,7.818,104.0,4.727,38,0
27,30,30,27,9,8,9,5,9,0,40,9,12,9,18,12,21,8,9,8,7,27,16,0,203.0,9.227,147.0,6.682,44,7.95
30,30,30,30,8,9,10,9,10,0,40,10,21,10,27,24,21,9,9,9,9,27,14,0,216.0,9.818,180.0,8.182,44,9.00
27,30,30,30,7,8,10,8,9,0,40,10,24,10,18,21,18,8,8,7,7,27,14,0,209.0,9.5,162.0,7.364,44,8.43
24,30,30,27,6,9,9,4,8,0,36,9,12,9,18,12,12,8,7,4,7,21,14,0,192.0,8.727,124.0,5.636,44,7.18
27,30,30,30,8,8,10,4,9,0,40,9,12,9,15,18,12,8,9,7,9,21,16,0,205.0,9.318,136.0,6.182,44,7.75
30,30,30,30,7,9,10,7,9,0,40,9,24,10,24,21,18,9,9,9,9,24,16,0,211.0,9.591,173.0,7.864,44,8.73
24,30,30,30,6,8,10,8,9,0,40,8,18,9,21,21,15,8,8,8,9,18,16,0,203.0,9.227,151.0,6.864,44,8.05
27,30,24,27,8,8,9,10,9,0,32,9,18,9,0,21,0,8,9,6,8,21,14,0,193.0,8.773,114.0,5.182,38,0
27,30,30,30,9,9,9,8,9,0,40,10,27,10,24,27,18,9,9,7,8,27,16,0,211.0,9.591,182.0,8.273,44,8.93
27,24,30,27,4,8,10,8,9,0,40,8,21,9,18,18,12,8,7,9,7,27,14,0,195.0,8.864,150.0,6.818,44,7.84
30,30,30,30,9,8,9,9,9,0,40,10,24,9,21,21,12,7,9,7,8,21,16,0,214.0,9.727,155.0,7.045,44,8.39
27,30,30,30,4,7,9,5,7,0,40,4,0,8,0,12,12,5,6,7,7,12,14,0,193.0,8.773,83.0,3.773,38,0
27,30,30,30,9,9,10,7,10,0,40,10,18,9,18,18,18,8,8,9,9,21,16,0,212.0,9.636,152.0,6.909,44,8.27
27,30,30,30,4,9,9,7,9,0,40,7,21,9,21,21,18,7,8,7,7,27,16,0,202.0,9.182,162.0,7.364,44,8.27
24,30,27,30,8,9,6,8,10,0,40,9,18,10,18,21,12,9,8,7,9,27,18,0,201.0,9.136,157.0,7.136,44,8.14
30,30,30,30,10,10,10,10,10,0,40,10,30,10,24,27,21,10,8,9,9,24,16,0,220.0,10.0,188.0,8.545,44,9.27
30,30,30,30,9,8,10,9,9,0,40,10,21,9,18,27,24,8,9,9,8,24,14,0,215.0,9.773,171.0,7.773,44,8.77
30,30,30,30,8,9,9,7,9,0,40,8,18,10,24,24,18,9,7,8,9,27,16,0,210.0,9.545,170.0,7.727,44,8.64
27,30,30,30,7,10,10,9,9,0,40,10,27,9,24,18,21,8,8,6,8,24,16,0,212.0,9.636,169.0,7.682,44,8.66
27,30,30,30,4,8,10,6,9,0,40,10,21,9,18,12,21,8,9,7,8,24,18,0,204.0,9.273,155.0,7.045,44,8.16
21,27,30,24,4,7,9,7,7,0,40,7,15,9,18,12,0,8,8,5,6,12,14,0,183.0,8.318,107.0,4.864,41,0
27,30,30,30,9,10,9,9,9,0,40,9,21,8,18,24,15,7,9,9,9,21,16,0,212.0,9.636,157.0,7.136,44,8.39
