DISCRETE MATHEMATICS,DISCRETE MATHEMATICS,LOGIC DESIGN & COMP. ORG.,DATA STRUCTURES & ALGO.,OBJECT ORIENTED PROGRAMMING,BASIC OF COMPUTER NETWORK,LOGIC DESIGN COMP. ORG. LAB,DATA STRUCTURES & ALGO. LAB,OBJECT ORIENTED PROG. LAB,SOFT SKILL LAB,AUDIT COURSE,ENGINEERING MATHEMATICS-III,ENGINEERING MATHEMATICS-III,PROCESSOR ARCHITECTURE,DATABASE MANAGEMENT SYSTEM,COMPUTER GRAPHICS,SOFTWARE ENGINEERING,PROG. SKILL DEVELOPMENT LAB,DATABASE MGMT. SYSTEM LAB,COMPUTER GRAPHICS LAB,PROJECT BASED LEARNING,AUDIT COURSE,SEM_3_GPA,SEM_3_SGPA,SEM_4_GPA,SEM_4_SGPA,TOTAL_CREDITS_EARNED,CGPA
30,10,30,30,30,30,8,20,18,9,0,24,10,18,15,18,12,8,18,9,18,0,215.0,9.773,150.0,6.818,44,8.30
30,10,27,30,30,30,9,20,18,9,0,24,10,18,21,21,18,7,18,9,18,0,213.0,9.682,164.0,7.455,44,8.57
27,10,30,27,30,30,8,18,18,9,0,27,10,24,24,21,18,9,16,7,18,0,207.0,9.409,174.0,7.909,44,8.66
21,10,30,27,30,27,9,18,16,8,0,15,9,12,18,15,18,7,18,7,16,0,196.0,8.909,135.0,6.136,44,7.52
27,10,27,30,30,30,9,18,18,10,0,27,10,21,24,27,21,9,20,8,20,0,209.0,9.5,187.0,8.5,44,9.00
27,9,27,27,30,27,9,18,18,9,0,30,9,18,21,24,21,9,18,9,20,0,201.0,9.136,179.0,8.136,44,8.64
24,10,30,30,30,30,8,20,18,10,0,24,10,18,18,24,18,9,20,9,18,0,210.0,9.545,168.0,7.636,44,8.59
30,10,30,30,30,30,9,20,18,9,0,27,9,18,21,21,15,7,18,9,18,0,216.0,9.818,163.0,7.409,44,8.61
24,10,27,30,30,27,9,18,18,9,0,21,9,18,21,18,18,7,18,6,18,0,202.0,9.182,154.0,7.0,44,8.09
21,10,30,30,30,30,8,18,20,9,0,0,10,15,15,18,18,5,16,8,18,0,206.0,9.364,123.0,5.591,41,0
30,10,27,27,30,30,8,20,18,9,0,18,9,0,12,21,12,7,18,7,20,0,209.0,9.5,124.0,5.636,41,0
27,10,30,30,30,30,10,18,18,10,0,27,10,18,21,24,18,6,20,9,18,0,213.0,9.682,171.0,7.773,44,8.73
27,9,30,30,30,30,9,20,18,10,0,27,10,21,24,24,21,7,20,10,18,0,213.0,9.682,182.0,8.273,44,8.98
27,10,30,30,30,30,9,18,20,10,0,21,10,18,21,24,21,8,18,9,20,0,214.0,9.727,170.0,7.727,44,8.73
24,10,30,27,30,30,9,18,18,10,0,24,10,21,24,27,21,9,20,9,20,0,206.0,9.364,185.0,8.409,44,8.89
24,10,30,27,30,30,6,18,16,9,0,0,9,0,0,0,0,6,18,4,12,0,200.0,9.091,49.0,2.227,29,0
30,10,30,30,30,30,9,20,18,10,0,30,10,18,18,21,18,9,18,9,18,0,217.0,9.864,169.0,7.682,44,8.77
27,10,30,30,30,30,7,18,18,10,0,21,10,18,24,18,18,7,18,7,18,0,210.0,9.545,159.0,7.227,44,8.39
30,10,30,30,30,30,9,20,18,10,0,30,10,15,21,21,21,9,20,10,18,0,217.0,9.864,175.0,7.955,44,8.91
27,10,27,30,30,30,9,20,20,9,0,24,9,24,18,21,18,7,18,9,18,0,212.0,9.636,166.0,7.545,44,8.59
21,10,27,27,30,30,6,18,16,9,0,0,10,0,0,15,18,8,18,4,18,0,194.0,8.818,91.0,4.136,35,0
27,9,24,27,30,27,8,18,16,8,0,24,10,18,18,24,12,7,16,7,18,0,194.0,8.818,154.0,7.0,44,7.91
21,8,24,27,30,30,6,18,16,9,0,12,8,0,15,0,15,6,16,5,14,0,189.0,8.591,91.0,4.136,38,0
27,10,27,30,30,27,7,20,16,9,0,18,9,18,12,18,15,5,16,6,18,0,203.0,9.227,135.0,6.136,44,7.68
30,10,30,30,30,30,8,18,16,8,0,18,9,12,21,18,12,6,18,4,16,0,210.0,9.545,134.0,6.091,44,7.82
27,10,27,30,30,30,9,18,18,10,0,18,10,27,24,27,21,7,18,10,20,0,209.0,9.5,182.0,8.273,44,8.89
30,9,30,30,30,30,10,18,18,10,0,30,10,21,18,24,24,9,18,9,18,0,215.0,9.773,181.0,8.227,44,9.00
21,10,24,21,27,27,8,18,16,10,0,15,10,18,24,21,18,8,20,8,18,0,182.0,8.273,160.0,7.273,44,7.77
30,10,30,30,30,30,8,20,18,10,0,27,10,12,12,24,18,8,18,10,16,0,216.0,9.818,155.0,7.045,44,8.43
30,10,30,30,30,30,9,20,18,9,0,30,10,12,21,24,21,8,18,9,18,0,216.0,9.818,171.0,7.773,44,8.80
24,10,30,30,30,30,9,18,18,9,0,18,10,12,12,18,12,7,16,7,18,0,208.0,9.455,130.0,5.909,44,7.68
30,10,30,27,30,30,8,18,20,9,0,24,10,12,21,27,18,4,18,7,18,0,212.0,9.636,159.0,7.227,44,8.43
30,10,30,30,30,30,8,20,18,10,0,27,10,21,21,27,24,10,18,9,20,0,216.0,9.818,187.0,8.5,44,9.16
27,10,27,27,30,30,8,20,18,9,0,18,10,21,18,21,24,8,18,8,16,0,206.0,9.364,162.0,7.364,44,8.36
30,10,30,30,30,30,10,20,20,10,0,24,9,18,18,21,18,9,18,9,18,0,220.0,10.0,162.0,7.364,44,8.68
27,10,30,30,27,27,10,20,18,9,0,27,10,18,21,27,15,8,18,9,18,0,208.0,9.455,171.0,7.773,44,8.61
30,9,27,27,27,30,8,16,16,9,0,18,9,12,18,24,12,4,16,0,16,0,199.0,9.045,129.0,5.864,43,0
30,8,30,30,30,30,8,18,18,9,0,21,8,12,21,24,15,7,18,9,18,0,211.0,9.591,153.0,6.955,44,8.27
27,10,30,27,30,30,9,18,18,9,0,18,9,12,12,18,18,7,18,4,16,0,208.0,9.455,132.0,6.0,44,7.73
24,10,27,24,30,30,8,16,18,9,0,21,10,12,12,15,12,7,18,5,16,0,196.0,8.909,128.0,5.818,44,7.36
30,10,27,27,30,30,8,20,18,9,0,30,10,21,21,27,21,9,18,8,18,0,209.0,9.5,183.0,8.318,44,8.91
27,10,30,27,30,30,8,18,18,10,0,24,9,12,21,18,18,7,16,8,18,0,208.0,9.455,151.0,6.864,44,8.16
27,10,30,30,30,30,9,20,18,10,0,18,10,21,18,24,21,9,20,9,20,0,214.0,9.727,170.0,7.727,44,8.73
30,10,30,30,30,30,10,20,20,9,0,30,10,18,21,18,18,9,18,10,18,0,219.0,9.955,170.0,7.727,44,8.84
27,10,27,30,30,30,10,20,18,9,0,30,10,12,21,21,12,9,18,9,18,0,211.0,9.591,160.0,7.273,44,8.43
27,10,30,30,30,30,9,20,18,9,0,21,10,18,18,24,12,8,18,10,18,0,213.0,9.682,157.0,7.136,44,8.41
30,10,30,30,30,30,9,20,20,9,0,21,10,12,21,24,18,9,20,5,18,0,218.0,9.909,158.0,7.182,44,8.55
30,10,30,30,30,30,8,18,18,10,0,18,10,12,21,27,18,9,18,10,18,0,214.0,9.727,161.0,7.318,44,8.52
24,10,27,27,30,27,9,18,18,9,0,21,10,18,12,18,18,9,16,8,18,0,199.0,9.045,148.0,6.727,44,7.89
30,9,30,30,30,30,10,18,18,9,0,27,8,12,18,21,18,7,20,7,18,0,214.0,9.727,156.0,7.091,44,8.41
27,10,30,30,30,27,9,20,20,9,0,30,10,21,24,21,15,9,20,9,18,0,212.0,9.636,177.0,8.045,44,8.84
27,9,27,30,30,30,8,18,18,10,0,21,9,0,15,18,0,7,16,10,18,0,207.0,9.409,114.0,5.182,38,0
30,10,30,30,30,30,9,20,18,9,0,27,10,15,21,15,12,9,18,10,18,0,216.0,9.818,155.0,7.045,44,8.43
27,10,27,27,30,30,9,18,18,9,0,27,10,15,18,21,12,9,18,8,18,0,205.0,9.318,156.0,7.091,44,8.20
27,10,27,27,30,30,8,20,16,9,0,27,9,18,21,21,15,8,18,8,18,0,204.0,9.273,163.0,7.409,44,8.34
30,10,30,30,30,30,9,18,18,9,0,24,10,18,24,21,18,8,18,9,18,0,214.0,9.727,168.0,7.636,44,8.68
30,10,30,30,30,30,9,20,20,10,0,15,10,21,21,21,15,8,20,9,20,0,219.0,9.955,160.0,7.273,44,8.61
30,10,30,30,30,30,10,20,20,9,0,30,10,21,18,24,21,10,20,10,20,0,219.0,9.955,184.0,8.364,44,9.16
30,10,30,30,30,30,9,20,16,9,0,24,10,18,24,24,15,7,18,9,18,0,214.0,9.727,167.0,7.591,44,8.66
30,10,27,30,30,30,10,18,16,9,0,24,10,21,18,21,15,7,18,8,18,0,210.0,9.545,160.0,7.273,44,8.41
