DISCRETE MATHEMATICS,DISCRETE MATHEMATICS,LOGIC DESIGN & COMP. ORG.,DATA STRUCTURES & ALGO.,OBJECT ORIENTED PROGRAMMING,BASIC OF COMPUTER NETWORK,LOGIC DESIGN COMP. ORG. LAB,DATA STRUCTURES & ALGO. LAB,OBJECT ORIENTED PROG. LAB,SOFT SKILL LAB,AUDIT COURSE,ENGINEERING MATHEMATICS-III,ENGINEERING MATHEMATICS-III,PROCESSOR ARCHITECTURE,DATABASE MANAGEMENT SYSTEM,COMPUTER GRAPHICS,SOFTWARE ENGINEERING,PROG. SKILL DEVELOPMENT LAB,DATABASE MGMT. SYSTEM LAB,COMPUTER GRAPHICS LAB,PROJECT BASED LEARNING,AUDIT COURSE,SEM_3_GPA,SEM_3_SGPA,SEM_4_GPA,SEM_4_SGPA,TOTAL_CREDITS_EARNED,CGPA
27,10,27,27,30,24,7,18,16,9,0,0,10,0,0,0,0,7,16,5,16,0,195.0,8.864,54.0,2.455,29,0
27,10,30,30,30,30,9,18,18,10,0,24,10,15,12,21,12,7,18,9,18,0,212.0,9.636,146.0,6.636,44,8.14
18,5,21,18,21,21,0,8,8,4,0,0,4,0,21,15,12,0,0,0,8,0,124.0,5.636,60.0,2.727,33,0
24,10,27,27,30,30,9,18,18,9,0,21,10,12,18,15,18,8,18,7,18,0,202.0,9.182,145.0,6.591,44,7.89
27,10,30,30,30,30,9,20,18,9,0,24,9,21,21,24,21,9,18,6,16,0,213.0,9.682,169.0,7.682,44,8.68
24,10,30,30,30,27,8,18,16,10,0,18,10,12,15,15,21,8,18,7,18,0,203.0,9.227,142.0,6.455,44,7.84
30,10,30,30,30,30,10,18,18,10,0,21,10,12,18,21,15,7,18,10,18,0,216.0,9.818,150.0,6.818,44,8.32
27,10,27,27,30,30,7,16,14,9,0,21,10,21,18,21,18,7,18,8,16,0,197.0,8.955,158.0,7.182,44,8.07
30,10,30,30,30,30,8,18,18,9,0,0,10,0,0,15,0,6,16,6,18,0,213.0,9.682,71.0,3.227,32,0
30,10,30,30,30,27,10,20,20,10,0,30,10,24,21,27,24,9,20,9,20,0,217.0,9.864,194.0,8.818,44,9.34
27,10,30,27,30,30,8,18,18,9,0,21,10,0,18,18,12,8,18,9,18,0,207.0,9.409,132.0,6.0,41,0
30,9,30,30,30,30,10,18,18,10,0,30,10,24,21,27,24,7,18,9,18,0,215.0,9.773,188.0,8.545,44,9.16
21,10,27,24,30,27,9,18,16,10,0,27,10,18,18,24,15,8,20,6,18,0,192.0,8.727,164.0,7.455,44,8.09
24,8,27,21,30,30,6,18,14,9,0,24,10,21,18,24,24,8,16,7,12,0,187.0,8.5,164.0,7.455,44,7.98
30,9,27,30,30,30,8,20,18,9,0,24,10,15,18,21,18,8,20,10,20,0,211.0,9.591,164.0,7.455,44,8.52
30,9,30,30,30,30,10,20,18,9,0,30,10,21,24,24,24,6,18,9,18,0,216.0,9.818,184.0,8.364,44,9.09
30,10,30,27,30,30,9,20,16,9,0,24,9,21,24,18,18,7,18,9,16,0,211.0,9.591,164.0,7.455,44,8.52
27,9,27,30,30,30,8,18,16,9,0,0,10,12,15,18,15,8,14,7,18,0,204.0,9.273,117.0,5.318,41,0
27,9,24,30,30,27,9,18,20,9,0,24,10,18,21,24,18,8,20,6,18,0,203.0,9.227,167.0,7.591,44,8.41
27,10,24,30,30,30,9,18,16,9,0,0,9,0,18,18,15,7,16,8,16,0,203.0,9.227,107.0,4.864,38,0
24,10,30,27,30,27,10,18,18,9,0,27,10,21,24,24,18,8,20,9,18,0,203.0,9.227,179.0,8.136,44,8.68
24,10,30,27,30,30,9,18,20,10,0,24,10,21,21,24,24,9,18,9,18,0,208.0,9.455,178.0,8.091,44,8.77
21,10,30,30,30,30,7,18,20,10,0,12,10,21,21,18,18,9,18,9,18,0,206.0,9.364,154.0,7.0,44,8.18
24,10,27,27,30,30,8,20,16,9,0,21,10,24,21,27,21,8,18,5,16,0,201.0,9.136,171.0,7.773,44,8.45
30,10,30,30,30,30,10,18,20,10,0,21,10,0,18,21,12,7,18,9,14,0,218.0,9.909,130.0,5.909,41,0
27,10,27,24,27,24,10,20,20,9,0,24,10,15,15,21,21,8,18,8,18,0,198.0,9.0,158.0,7.182,44,8.09
27,10,30,30,30,30,9,20,18,9,0,21,10,15,21,24,15,7,20,4,18,0,213.0,9.682,155.0,7.045,44,8.36
30,10,30,30,30,30,9,20,18,10,0,15,10,24,21,24,21,8,18,7,18,0,217.0,9.864,166.0,7.545,44,8.70
30,10,30,30,30,30,9,18,16,9,0,24,10,12,18,21,12,7,18,9,18,0,212.0,9.636,149.0,6.773,44,8.20
27,10,30,30,30,30,9,20,18,9,0,24,10,18,24,24,18,7,18,10,18,0,213.0,9.682,171.0,7.773,44,8.73
27,10,30,30,30,30,9,18,18,9,0,24,10,21,24,21,18,8,16,9,16,0,211.0,9.591,167.0,7.591,44,8.59
30,10,30,30,30,30,9,20,18,10,0,24,10,18,21,24,18,7,18,7,18,0,217.0,9.864,165.0,7.5,44,8.68
30,10,30,30,30,30,10,20,20,10,0,30,10,24,24,27,21,10,20,10,20,0,220.0,10.0,196.0,8.909,44,9.45
27,10,30,30,30,30,8,20,20,9,0,27,10,18,18,24,21,9,18,9,20,0,214.0,9.727,174.0,7.909,44,8.82
27,10,30,30,30,30,10,20,20,10,0,18,10,24,24,24,24,10,18,8,20,0,217.0,9.864,180.0,8.182,44,9.02
30,9,30,30,30,30,10,20,18,9,0,27,10,24,21,27,24,9,18,9,18,0,216.0,9.818,187.0,8.5,44,9.16
27,10,24,30,30,30,8,20,18,9,0,27,10,18,18,27,18,8,18,9,18,0,206.0,9.364,171.0,7.773,44,8.57
30,10,30,30,30,30,9,18,18,9,0,30,10,21,27,30,21,8,18,8,18,0,214.0,9.727,191.0,8.682,44,9.20
27,9,30,27,30,30,8,18,16,9,0,30,10,18,24,24,18,8,18,9,18,0,204.0,9.273,177.0,8.045,44,8.66
30,10,30,30,30,30,9,18,18,9,0,27,10,24,21,24,27,8,18,9,18,0,214.0,9.727,186.0,8.455,44,9.09
24,10,27,24,30,30,8,18,18,9,0,0,10,0,0,0,0,7,16,0,18,0,198.0,9.0,51.0,2.318,28,0
27,10,30,30,30,30,9,18,18,10,0,27,10,15,18,27,18,8,20,8,18,0,212.0,9.636,169.0,7.682,44,8.66
27,10,30,30,30,30,10,20,18,10,0,27,10,21,21,24,24,8,20,10,18,0,215.0,9.773,183.0,8.318,44,9.05
27,10,27,30,30,30,9,18,18,8,0,24,10,12,15,18,15,7,18,8,18,0,207.0,9.409,145.0,6.591,44,8.00
27,10,27,30,30,30,8,18,18,8,0,27,10,21,18,24,21,7,18,9,18,0,206.0,9.364,173.0,7.864,44,8.61
27,8,27,27,30,30,9,18,18,9,0,12,9,12,12,15,18,7,16,8,18,0,203.0,9.227,127.0,5.773,44,7.50
27,10,30,30,30,30,9,18,20,9,0,24,10,24,27,27,21,10,20,9,18,0,213.0,9.682,190.0,8.636,44,9.16
30,10,30,30,30,27,9,20,18,9,0,27,10,15,21,18,18,8,18,9,18,0,213.0,9.682,162.0,7.364,44,8.52
