DISCRETE MATHEMATICS,FUND. OF DATA STRUCTURES,OBJECT ORIENTED PROGRAMMING,COMPUTER GRAPHICS,DIGITAL ELEC. & LOGIC DESIGN,DATA STUCTURES LABORATORY,OOP & COMP. GRAPHICS LAB.,DIGITAL ELEC. LABORATORY,BUSINESS COMMUNICATION SKILLS,HUMANITY & SOCIAL SCIENCE,AUDIT COURSE,ENGINEERING MATHEMATICS III,ENGINEERING MATHEMATICS III,DATA STRUCTURES & ALGO.,SOFTWARE ENGINEERING,MICROPROCESSOR,PRINCIPLES OF PROG. LANG.,DATA STRUCTURES & ALGO. LAB.,MICROPROCESSOR LABORATORY,PROJECT BASED LEARNING II,CODE OF CONDUCT,AUDIT COURSE,SEM_3_GPA,SEM_3_SGPA,SEM_4_GPA,SEM_4_SGPA,TOTAL_CREDITS_EARNED,CGPA
30,30,30,30,30,18,18,9,9,9,0,21,9,18,21,27,24,14,9,20,10,0,213.0,9.682,173.0,7.864,44,8.77
30,30,27,30,30,18,18,9,9,9,0,27,8,18,21,24,21,18,9,18,9,0,210.0,9.545,173.0,7.864,44,8.70
30,30,30,27,30,16,16,10,10,9,0,27,7,18,12,21,21,18,8,18,9,0,208.0,9.455,159.0,7.227,44,8.34
30,27,30,27,30,18,16,10,9,9,0,27,8,18,24,21,21,14,9,16,8,0,206.0,9.364,166.0,7.545,44,8.45
30,30,30,30,30,18,20,10,10,9,0,24,9,21,21,27,18,18,9,18,9,0,217.0,9.864,174.0,7.909,44,8.89
30,27,27,27,30,18,14,9,9,8,0,18,5,12,15,0,0,0,7,16,9,0,199.0,9.045,82.0,3.727,36,0
30,30,30,24,30,18,16,10,9,9,0,21,7,15,24,12,21,18,8,18,10,0,206.0,9.364,154.0,7.0,44,8.18
30,30,30,27,30,16,16,10,9,9,0,27,8,21,21,24,18,14,8,18,9,0,207.0,9.409,168.0,7.636,44,8.52
30,30,30,30,30,18,18,9,9,10,0,21,8,12,18,18,12,16,7,20,8,0,214.0,9.727,140.0,6.364,44,8.05
30,27,27,27,30,20,18,10,10,10,0,27,9,18,24,21,24,16,10,20,9,0,209.0,9.5,178.0,8.091,44,8.80
30,30,30,30,30,18,18,10,9,9,0,30,9,21,24,30,27,18,9,18,10,0,214.0,9.727,196.0,8.909,44,9.32
30,30,30,27,30,18,18,9,10,9,0,18,7,21,21,18,18,18,8,18,10,0,211.0,9.591,157.0,7.136,44,8.36
30,30,30,30,30,18,18,10,9,10,0,30,7,21,18,21,21,18,9,20,9,0,215.0,9.773,174.0,7.909,44,8.84
30,30,30,30,30,16,18,10,10,10,0,30,9,24,18,21,21,18,8,18,9,0,214.0,9.727,176.0,8.0,44,8.86
30,30,30,30,30,20,18,9,10,10,0,27,7,18,21,24,18,18,9,20,10,0,217.0,9.864,172.0,7.818,44,8.84
30,30,30,30,30,18,16,10,9,9,0,21,9,18,18,21,18,14,9,18,9,0,212.0,9.636,155.0,7.045,44,8.34
30,30,30,27,30,16,18,9,10,9,0,30,9,18,21,24,18,18,9,18,10,0,209.0,9.5,175.0,7.955,44,8.73
30,30,30,30,30,18,18,9,10,9,0,24,8,21,21,24,18,16,9,20,8,0,214.0,9.727,169.0,7.682,44,8.70
30,30,30,27,30,18,18,10,10,10,0,30,9,21,21,24,21,16,10,20,8,0,213.0,9.682,180.0,8.182,44,8.93
30,30,27,30,30,20,20,10,9,9,0,30,9,24,18,21,18,18,9,20,10,0,215.0,9.773,177.0,8.045,44,8.91
30,30,27,30,30,18,20,9,10,9,0,24,9,18,21,21,15,20,10,20,10,0,213.0,9.682,168.0,7.636,44,8.66
30,30,30,27,30,16,18,9,9,10,0,27,9,24,21,27,18,20,8,18,9,0,209.0,9.5,181.0,8.227,44,8.86
30,30,30,27,30,14,18,9,10,9,0,27,9,15,18,30,18,20,9,20,9,0,207.0,9.409,175.0,7.955,44,8.68
27,27,27,30,30,16,18,10,10,10,0,21,4,18,12,21,15,12,6,18,7,0,205.0,9.318,134.0,6.091,44,7.70
30,27,30,27,30,18,18,10,10,9,0,24,7,21,24,21,18,18,9,20,10,0,209.0,9.5,172.0,7.818,44,8.66
30,30,30,30,30,16,18,10,9,10,0,30,8,15,21,27,21,18,10,20,9,0,213.0,9.682,179.0,8.136,44,8.91
27,27,24,27,30,18,18,10,9,10,0,30,8,24,24,24,21,14,10,18,9,0,200.0,9.091,182.0,8.273,44,8.68
30,30,30,30,30,14,18,8,10,9,0,27,9,18,24,24,27,18,9,18,9,0,209.0,9.5,183.0,8.318,44,8.91
27,30,27,30,30,14,18,9,9,10,0,21,8,18,15,12,15,16,9,18,9,0,204.0,9.273,141.0,6.409,44,7.84
24,30,27,27,30,16,16,10,10,10,0,18,6,15,21,15,12,16,6,18,10,0,200.0,9.091,137.0,6.227,44,7.66
30,30,30,27,30,12,16,10,9,10,0,24,8,18,24,24,27,12,8,18,10,0,204.0,9.273,173.0,7.864,44,8.57
30,30,30,30,30,20,20,9,10,10,0,30,10,27,27,27,24,20,10,20,9,0,219.0,9.955,204.0,9.273,44,9.61
30,30,30,27,30,14,18,10,10,10,0,30,9,21,27,21,24,18,9,18,9,0,209.0,9.5,186.0,8.455,44,8.98
30,30,30,27,30,18,16,9,9,8,0,30,8,27,27,27,24,16,9,18,9,0,207.0,9.409,195.0,8.864,44,9.14
30,30,30,30,30,18,18,10,10,9,0,27,8,18,24,21,21,18,9,18,8,0,215.0,9.773,172.0,7.818,44,8.80
30,30,30,30,30,16,20,10,10,10,0,27,9,27,21,24,21,18,9,20,9,0,216.0,9.818,185.0,8.409,44,9.11
