,ELECTRONIC CIRCUITS,DIGITAL CIRCUITS,ELECTRICAL CIRCUITS,DATA STRUCTURES,ELECTRONIC CIRCUIT LAB,DIGITAL CIRCUITS LAB,ELECTRICAL CIRCUIT LAB,DATA STRUCTURES LAB,ELECTRONIC SKILL DEVELOPMENT,AUDIT COURSE,ENGINEERING MATHEMATICS III,ENGINEERING MATHEMATICS III.1,SIGNALS & SYSTEMS,SIGNALS & SYSTEMS.1,CONTROL SYSTEMS,PRINCIPLES OF COMMU. SYSTEMS,OBJECT ORIENTED PROGRAMMING,SIGNALS & CONTROL SYSTEM LAB,PRINCIPLE OF COMMU. SYS. LAB,OOPS LAB,DATA ANALYTICS LAB,EMPLOYABILITY SKILL DEV.,PROJECT BASED LEARNING,AUDIT COURSE.1,SEM_3_GPA,SEM_3_SGPA,SEM_4_GPA,SEM_4_SGPA,TOTAL_CREDITS_EARNED,CGPA,SEM_3_INTERNAL,SEM_4_INTERNAL,SEM_3_EXTERNAL,SEM_4_EXTERNAL
268,0.9,1.0,1.0,0.9,0.8,0.9,0.9,0.9,0.8,0,1.0,0.9,0.7,1.0,0.6,0.7,0.4,0.9,1.0,0.7,0.9,1.0,0.8,0,206.0,0.9364000000000001,163.0,0.7409,1.0,0.8390000000000001,0.8666666666666667,0.8714285714285714,0.9625,0.68
269,0.9,1.0,1.0,0.9,0.6,0.8,0.7,0.6,0.9,0,0.8,0.7,0.8,0.9,0.6,0.6,0.5,0.7,0.8,0.9,0.7,0.8,0.7,0,189.0,0.8591,153.0,0.6955,1.0,0.7769999999999999,0.7166666666666667,0.7714285714285715,0.9125,0.66
270,0.8,1.0,1.0,1.0,0.8,0.8,1.0,0.9,0.8,0,0.9,0.7,0.9,0.9,0.7,0.7,0.4,0.8,0.7,0.9,0.7,0.7,0.9,0,200.0,0.9090999999999999,160.0,0.7273,1.0,0.818,0.8333333333333334,0.8285714285714286,0.9375,0.68
271,1.0,1.0,1.0,1.0,0.7,0.8,1.0,0.9,0.8,0,1.0,0.9,0.7,1.0,0.7,0.8,0.6,0.9,0.9,0.8,0.9,0.9,0.8,0,211.0,0.9591,172.0,0.7817999999999999,1.0,0.8699999999999999,0.85,0.8714285714285714,1.0,0.74
272,1.0,1.0,1.0,1.0,0.6,0.9,1.0,0.7,0.9,0,1.0,0.9,0.4,0.9,0.4,0.7,0.5,0.8,0.9,0.7,0.7,0.8,0.8,0,210.0,0.9545,140.0,0.6364,1.0,0.795,0.8333333333333334,0.8,1.0,0.56
273,0.7,1.0,1.0,1.0,0.7,0.8,1.0,0.8,0.8,0,1.0,0.8,0.6,0.9,0.7,0.6,0.6,0.8,0.8,0.8,0.6,0.6,0.9,0,200.0,0.9090999999999999,150.0,0.6818,1.0,0.795,0.8166666666666667,0.8142857142857143,0.94375,0.62
274,0.9,1.0,1.0,0.9,0.7,0.8,0.9,0.8,0.9,0,0.9,1.0,0.4,0.9,0.0,0.4,0.4,0.8,0.9,0.8,0.8,0.8,0.8,0,201.0,0.9136,118.0,0.5364,0.9318181818181818,0.0,0.85,0.8285714285714286,0.9375,0.4
275,0.9,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0,0.7,0.9,0.0,0.9,0.0,0.0,0.4,0.8,0.9,0.8,0.8,0.8,0.8,0,196.0,0.8909,94.0,0.42729999999999996,0.7954545454545454,0.0,0.9,0.8285714285714286,0.8875,0.24
276,0.9,1.0,1.0,1.0,0.6,0.8,1.0,1.0,0.9,0,1.0,1.0,0.7,0.9,0.5,0.9,0.8,0.8,0.8,0.9,0.9,0.8,0.7,0,210.0,0.9545,168.0,0.7636000000000001,1.0,0.859,0.8833333333333333,0.8142857142857143,0.98125,0.74
277,0.9,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0,1.0,1.0,0.9,1.0,0.7,0.8,0.8,0.9,0.9,0.9,0.9,1.0,0.9,0,215.0,0.9773,190.0,0.8635999999999999,1.0,0.9199999999999999,0.9666666666666667,0.9142857142857143,0.98125,0.84
278,0.9,1.0,1.0,1.0,0.4,0.9,1.0,0.7,1.0,0,1.0,0.9,0.8,0.7,0.4,0.7,0.5,0.6,0.9,0.9,0.9,0.6,0.7,0,206.0,0.9364000000000001,144.0,0.6545,1.0,0.795,0.8166666666666667,0.7714285714285715,0.98125,0.6
279,0.9,1.0,1.0,0.9,0.4,0.8,1.0,0.8,0.8,0,1.0,0.5,0.8,0.9,0.6,0.7,0.4,0.7,0.9,0.9,1.0,0.8,0.8,0,197.0,0.8955,159.0,0.7227,1.0,0.8089999999999999,0.7166666666666667,0.8571428571428571,0.9625,0.66
280,0.9,1.0,1.0,1.0,0.8,0.8,1.0,1.0,1.0,0,1.0,0.9,0.9,1.0,0.7,0.8,0.6,0.9,0.9,0.9,1.0,0.9,0.9,0,212.0,0.9635999999999999,182.0,0.8272999999999999,1.0,0.8949999999999999,0.9166666666666666,0.9285714285714286,0.98125,0.78
281,0.7,1.0,1.0,1.0,0.9,1.0,1.0,0.9,1.0,0,1.0,1.0,0.8,0.9,0.7,0.6,0.6,0.8,0.9,0.9,0.8,0.8,0.9,0,209.0,0.95,166.0,0.7545,1.0,0.852,0.9666666666666667,0.8714285714285714,0.94375,0.7
282,1.0,1.0,1.0,1.0,0.9,0.8,0.9,0.9,0.9,0,1.0,1.0,0.9,1.0,0.8,0.9,0.6,0.9,0.9,1.0,1.0,0.9,0.7,0,214.0,0.9727,185.0,0.8409000000000001,1.0,0.907,0.9,0.8857142857142857,1.0,0.82
283,1.0,1.0,1.0,1.0,0.8,0.9,1.0,0.9,0.9,0,1.0,1.0,0.9,1.0,0.8,0.9,0.8,0.9,0.8,0.8,0.8,0.9,0.8,0,215.0,0.9773,188.0,0.8545,1.0,0.916,0.9166666666666666,0.8428571428571429,1.0,0.86
284,0.7,1.0,1.0,0.9,0.9,0.9,0.9,0.6,0.9,0,0.8,1.0,0.5,0.9,0.6,0.6,0.4,0.7,0.7,0.7,0.8,0.9,0.7,0,192.0,0.8727,142.0,0.6455,1.0,0.759,0.8666666666666667,0.7428571428571429,0.875,0.6
285,1.0,1.0,0.9,0.9,0.9,1.0,1.0,1.0,0.9,0,1.0,1.0,0.8,0.9,0.6,0.6,0.5,0.8,0.9,0.7,0.7,0.9,0.9,0,212.0,0.9635999999999999,160.0,0.7273,1.0,0.845,0.9666666666666667,0.8285714285714286,0.9625,0.68
286,0.7,0.9,0.8,0.7,0.4,0.7,0.9,0.5,0.7,0,0.6,0.7,0.0,0.8,0.0,0.0,0.0,0.5,0.5,0.5,0.4,0.4,0.7,0,156.0,0.7091000000000001,53.0,0.24089999999999998,0.7272727272727273,0.0,0.65,0.5857142857142857,0.73125,0.08
287,0.9,1.0,1.0,1.0,0.9,0.8,1.0,0.4,0.9,0,0.8,1.0,0.4,0.7,0.4,0.5,0.6,0.6,0.8,0.7,0.7,0.6,0.7,0,199.0,0.9045,124.0,0.5636,1.0,0.734,0.8333333333333334,0.7,0.93125,0.5
288,0.8,1.0,1.0,0.9,0.6,0.9,0.9,0.8,0.9,0,1.0,0.9,0.6,0.8,0.6,0.6,0.0,0.7,0.8,0.7,0.6,0.6,0.7,0,201.0,0.9136,122.0,0.5545,0.9318181818181818,0.0,0.8333333333333334,0.7142857142857143,0.94375,0.48
289,0.7,0.9,0.8,0.7,0.7,0.8,0.6,0.7,0.5,0,0.7,0.4,0.4,0.7,0.0,0.6,0.0,0.6,0.8,0.7,0.8,0.4,0.7,0,158.0,0.7182000000000001,92.0,0.4182,0.8636363636363636,0.0,0.6166666666666667,0.7142857142857143,0.75625,0.28
290,0.8,1.0,1.0,1.0,0.8,0.9,1.0,0.7,0.9,0,1.0,1.0,0.7,0.9,0.7,0.0,0.8,0.8,0.8,0.9,0.7,0.7,0.7,0,207.0,0.9409000000000001,142.0,0.6455,0.9318181818181818,0.0,0.8833333333333333,0.7857142857142857,0.9625,0.58
291,0.9,1.0,1.0,1.0,0.8,0.9,1.0,0.7,0.9,0,1.0,1.0,0.8,0.9,0.7,0.7,0.7,0.9,0.9,0.9,1.0,0.9,0.9,0,210.0,0.9545,178.0,0.8090999999999999,1.0,0.882,0.8833333333333333,0.9142857142857143,0.98125,0.76
292,0.9,1.0,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0,0.7,0.9,0.7,0.9,0.0,0.6,0.0,0.8,0.8,0.8,0.7,0.6,0.8,0,190.0,0.8635999999999999,113.0,0.5136000000000001,0.8636363636363636,0.0,0.9,0.8,0.85,0.38
293,0.8,1.0,1.0,1.0,0.8,0.9,0.9,0.9,0.9,0,1.0,0.9,0.9,0.9,0.7,0.8,0.6,0.9,0.9,0.8,0.8,0.8,0.8,0,207.0,0.9409000000000001,173.0,0.7864,1.0,0.8640000000000001,0.8833333333333333,0.8428571428571429,0.9625,0.76
294,0.8,1.0,1.0,1.0,0.9,0.9,1.0,0.8,0.9,0,1.0,0.9,0.4,0.9,0.6,0.6,0.7,0.9,0.8,0.9,0.8,0.7,0.8,0,208.0,0.9455,149.0,0.6773,1.0,0.8109999999999999,0.9,0.8428571428571429,0.9625,0.6
295,0.8,1.0,1.0,1.0,0.9,0.8,1.0,1.0,0.9,0,1.0,0.9,0.7,0.9,0.4,0.7,0.6,0.8,0.9,0.6,0.9,0.8,0.8,0,209.0,0.95,153.0,0.6955,1.0,0.8230000000000001,0.9166666666666666,0.8142857142857143,0.9625,0.64
296,0.9,1.0,1.0,1.0,0.7,0.8,0.9,0.9,0.8,0,1.0,0.9,0.8,1.0,0.7,0.7,0.6,0.9,1.0,0.9,0.8,0.8,0.8,0,207.0,0.9409000000000001,170.0,0.7727,1.0,0.857,0.8333333333333334,0.8857142857142857,0.98125,0.72
297,1.0,1.0,1.0,1.0,0.4,0.9,0.9,0.9,0.9,0,1.0,1.0,0.7,1.0,0.7,0.7,0.6,0.8,0.9,0.8,0.7,0.9,0.8,0,210.0,0.9545,166.0,0.7545,1.0,0.8550000000000001,0.8333333333333334,0.8285714285714286,1.0,0.72
298,0.9,1.0,1.0,0.9,0.7,0.8,0.9,0.7,1.0,0,1.0,0.9,0.8,0.9,0.6,0.8,0.6,0.8,0.8,0.9,0.8,0.8,0.7,0,204.0,0.9273,164.0,0.7455,1.0,0.836,0.8333333333333334,0.8,0.9625,0.72
299,1.0,1.0,1.0,1.0,0.7,0.9,0.9,1.0,0.9,0,1.0,0.9,0.8,1.0,0.6,1.0,0.6,0.9,0.8,0.9,0.9,1.0,0.9,0,213.0,0.9682000000000001,183.0,0.8318,1.0,0.9,0.8833333333333333,0.9,1.0,0.8
300,0.8,1.0,1.0,1.0,0.8,0.8,1.0,0.5,0.9,0,1.0,1.0,0.7,0.7,0.6,0.0,0.6,0.6,0.8,0.6,0.7,0.8,0.7,0,204.0,0.9273,129.0,0.5864,0.9318181818181818,0.0,0.8333333333333334,0.6857142857142857,0.9625,0.54
301,0.7,1.0,1.0,1.0,0.9,0.8,1.0,0.4,0.7,0,1.0,0.7,0.7,0.9,0.7,0.6,0.6,0.8,0.7,0.8,0.7,0.7,0.8,0,196.0,0.8909,154.0,0.7,1.0,0.795,0.75,0.7857142857142857,0.94375,0.66
302,0.8,0.9,1.0,1.0,0.7,0.7,1.0,0.5,0.8,0,1.0,0.9,0.0,0.9,0.0,0.0,0.0,0.7,0.4,0.4,0.6,0.5,0.7,0,197.0,0.8955,59.0,0.2682,0.7272727272727273,0.0,0.7666666666666667,0.6285714285714286,0.94375,0.1
303,1.0,1.0,1.0,0.9,0.8,1.0,0.9,1.0,0.9,0,1.0,0.9,0.8,1.0,0.7,0.6,0.5,0.8,1.0,0.9,0.9,0.8,0.8,0,212.0,0.9635999999999999,164.0,0.7455,1.0,0.8550000000000001,0.9166666666666666,0.8857142857142857,0.98125,0.68
304,0.9,1.0,1.0,1.0,0.5,1.0,0.9,0.7,0.9,0,1.0,0.9,0.4,0.9,0.4,0.4,0.6,0.8,0.8,0.6,0.8,0.9,0.7,0,206.0,0.9364000000000001,134.0,0.6091,1.0,0.773,0.8166666666666667,0.7571428571428571,0.98125,0.54
305,0.8,1.0,1.0,1.0,0.9,0.8,0.9,0.7,0.9,0,0.7,0.9,0.7,0.9,0.5,0.6,0.5,0.8,0.8,0.8,0.8,0.8,0.8,0,193.0,0.8773,150.0,0.6818,1.0,0.78,0.85,0.8142857142857143,0.8875,0.62
306,0.8,1.0,1.0,1.0,0.7,0.9,1.0,0.8,0.9,0,1.0,0.9,0.8,1.0,0.9,0.8,0.6,0.9,0.9,0.9,0.7,0.9,0.8,0,206.0,0.9364000000000001,180.0,0.8182,1.0,0.877,0.8666666666666667,0.8571428571428571,0.9625,0.8
307,0.9,1.0,1.0,1.0,0.4,0.9,1.0,0.9,0.9,0,1.0,0.9,0.8,0.9,0.8,0.7,0.6,0.8,0.6,0.9,0.9,0.8,0.9,0,207.0,0.9409000000000001,170.0,0.7727,1.0,0.857,0.8333333333333334,0.8428571428571429,0.98125,0.74
308,0.7,1.0,1.0,0.9,0.4,0.9,0.9,0.4,0.9,0,1.0,0.9,0.4,0.8,0.4,0.4,0.4,0.7,0.8,0.8,0.7,0.7,0.7,0,192.0,0.8727,121.0,0.55,1.0,0.7110000000000001,0.7333333333333333,0.7428571428571429,0.925,0.46
